Time;Symbol;Action;Exit_Price;Entry;SL;TP;ATR;ATR_rel;EMA_diff;RSI14;Ret_5;Range_Ratio;Pct_from_30h;Pct_from_30l;Breakout_level_atr_multiplier;SL_ATR_Mult;TP_ATR_Mult;Use_BE;Risk_Reward_Ratio;ATR_Percentage;Entry_ATR_Ratio;RSI_Normalized;Distance_to_SL_ATR;Distance_to_TP_ATR;High_Volatility;Day_of_Week;Month;Action_Encoded;Symbol_Encoded;H1_Open_1;H1_High_1;H1_Low_1;H1_Close_1;H1_Bullish_1;H1_Body_1;H1_Range_1;H1_UWick_1;H1_LWick_1;H1_Open_2;H1_High_2;H1_Low_2;H1_Close_2;H1_Bullish_2;H1_Body_2;H1_Range_2;H1_UWick_2;H1_LWick_2;H1_Open_3;H1_High_3;H1_Low_3;H1_Close_3;H1_Bullish_3;H1_Body_3;H1_Range_3;H1_UWick_3;H1_LWick_3;H1_Open_4;H1_High_4;H1_Low_4;H1_Close_4;H1_Bullish_4;H1_Body_4;H1_Range_4;H1_UWick_4;H1_LWick_4;H1_Open_5;H1_High_5;H1_Low_5;H1_Close_5;H1_Bullish_5;H1_Body_5;H1_Range_5;H1_UWick_5;H1_LWick_5;H1_Open_6;H1_High_6;H1_Low_6;H1_Close_6;H1_Bullish_6;H1_Body_6;H1_Range_6;H1_UWick_6;H1_LWick_6;H1_Open_7;H1_High_7;H1_Low_7;H1_Close_7;H1_Bullish_7;H1_Body_7;H1_Range_7;H1_UWick_7;H1_LWick_7;Consecutive_Bullish;Consecutive_Bearish;Avg_Body_Size;Avg_Range;Trend_Score;Momentum_Strength;Win;Profitable;Final_PnL;Outcome_Category
2021.01.04;XAUUSDm;BUY;1915.315;1914.917;1914.702;1915.283;19.35893;0.01010954;0.00365060;65.90;0.020366;0.370217;-0.000011;0.078728;0.00;0.01;0.02;false;1.702326;1.010954;98.916476;0.6590;0.011106;0.018906;1;1;1;1;0;1909.308;1914.896;1907.729;1913.094;1;3.786;7.167;1.802;1.579;1894.929;1900.290;1885.389;1894.387;0;0.542;14.901;5.361;8.998;1878.689;1895.329;1876.071;1894.947;1;16.258;19.258;0.382;2.618;1876.682;1886.313;1871.640;1878.690;1;2.008;14.673;7.623;5.042;1888.294;1900.127;1869.025;1876.696;0;11.598;31.102;11.833;7.671;1888.893;1889.770;1885.718;1888.248;0;0.645;4.052;0.877;2.530;1872.518;1880.507;1869.428;1879.016;1;6.498;11.079;1.491;3.090;1;0;5.905;14.605;1;0.404325;1;1;1.58;Win
2021.01.05;XAUUSDm;BUY;1945.964;1945.575;1945.368;1945.952;19.46057;0.01000248;0.00618819;72.15;0.035602;1.830419;-0.000006;0.093245;0.00;0.01;0.02;false;1.821256;1.000248;99.975225;0.7215;0.010637;0.019373;1;2;1;1;0;1913.048;1945.563;1909.942;1941.686;1;28.638;35.621;3.877;3.106;1909.308;1914.896;1907.729;1913.094;1;3.786;7.167;1.802;1.579;1894.929;1900.290;1885.389;1894.387;0;0.542;14.901;5.361;8.998;1878.689;1895.329;1876.071;1894.947;1;16.258;19.258;0.382;2.618;1876.682;1886.313;1871.640;1878.690;1;2.008;14.673;7.623;5.042;1888.294;1900.127;1869.025;1876.696;0;11.598;31.102;11.833;7.671;1888.893;1889.770;1885.718;1888.248;0;0.645;4.052;0.877;2.530;2;0;9.068;18.111;1;0.500694;1;1;1.55;Win
2021.01.06;XAUUSDm;BUY;1953.543;1953.142;1952.941;1953.539;19.93800;0.01020817;0.00801515;73.46;0.030711;0.946584;-0.000001;0.096758;0.00;0.01;0.02;false;1.975124;1.020817;97.960778;0.7346;0.010081;0.019912;1;3;1;1;0;1941.687;1953.140;1934.267;1950.228;1;8.541;18.873;2.912;7.420;1913.048;1945.563;1909.942;1941.686;1;28.638;35.621;3.877;3.106;1909.308;1914.896;1907.729;1913.094;1;3.786;7.167;1.802;1.579;1894.929;1900.290;1885.389;1894.387;0;0.542;14.901;5.361;8.998;1878.689;1895.329;1876.071;1894.947;1;16.258;19.258;0.382;2.618;1876.682;1886.313;1871.640;1878.690;1;2.008;14.673;7.623;5.042;1888.294;1900.127;1869.025;1876.696;0;11.598;31.102;11.833;7.671;3;0;10.196;20.228;3;0.504050;1;1;1.59;Win
2021.01.08;XAUUSDm;SELL;1906.363;1906.780;1907.013;1906.363;21.65586;0.01135730;0.00770377;55.95;-0.003301;0.960525;0.027540;0.052110;0.00;0.01;0.02;false;1.789700;1.135730;88.049159;0.5595;0.010759;0.019256;1;5;1;0;0;1923.943;1927.597;1906.796;1916.548;0;7.395;20.801;3.654;9.752;1950.279;1959.290;1900.692;1923.991;0;26.288;58.598;9.011;23.299;1941.687;1953.140;1934.267;1950.228;1;8.541;18.873;2.912;7.420;1913.048;1945.563;1909.942;1941.686;1;28.638;35.621;3.877;3.106;1909.308;1914.896;1907.729;1913.094;1;3.786;7.167;1.802;1.579;1894.929;1900.290;1885.389;1894.387;0;0.542;14.901;5.361;8.998;1878.689;1895.329;1876.071;1894.947;1;16.258;19.258;0.382;2.618;0;2;13.064;25.031;1;0.521907;1;1;1.66;Win
2021.01.11;XAUUSDm;SELL;1841.021;1841.544;1841.809;1841.041;25.61657;0.01391039;0.00295780;40.20;-0.055730;0.545897;0.063940;0.012495;0.00;0.01;0.02;false;1.898113;1.391039;71.888777;0.4020;0.010345;0.019636;1;1;1;0;0;1855.038;1855.537;1841.553;1844.710;0;10.328;13.984;0.499;3.157;1916.499;1916.605;1828.156;1849.370;0;67.129;88.449;0.106;21.214;1923.943;1927.597;1906.796;1916.548;0;7.395;20.801;3.654;9.752;1950.279;1959.290;1900.692;1923.991;0;26.288;58.598;9.011;23.299;1941.687;1953.140;1934.267;1950.228;1;8.541;18.873;2.912;7.420;1913.048;1945.563;1909.942;1941.686;1;28.638;35.621;3.877;3.106;1909.308;1914.896;1907.729;1913.094;1;3.786;7.167;1.802;1.579;0;4;21.729;34.785;-1;0.624679;1;1;2.09;Win
2021.01.12;XAUUSDm;BUY;1856.027;1855.495;1855.196;1856.024;27.57907;0.01486346;0.00222608;44.05;-0.035601;1.397328;0.055939;0.020782;0.00;0.01;0.02;false;1.769231;1.486346;67.279096;0.4405;0.010842;0.019181;1;2;1;1;0;1844.680;1855.472;1816.935;1847.233;1;2.553;38.537;8.239;27.745;1855.038;1855.537;1841.553;1844.710;0;10.328;13.984;0.499;3.157;1916.499;1916.605;1828.156;1849.370;0;67.129;88.449;0.106;21.214;1923.943;1927.597;1906.796;1916.548;0;7.395;20.801;3.654;9.752;1950.279;1959.290;1900.692;1923.991;0;26.288;58.598;9.011;23.299;1941.687;1953.140;1934.267;1950.228;1;8.541;18.873;2.912;7.420;1913.048;1945.563;1909.942;1941.686;1;28.638;35.621;3.877;3.106;1;0;21.553;39.266;-1;0.548899;1;1;2.12;Win
2021.01.14;XAUUSDm;SELL;1841.275;1841.844;1842.139;1841.298;28.03407;0.01522067;0.00021746;41.09;-0.004071;0.751799;0.063767;0.013523;0.00;0.01;0.02;false;1.850847;1.522067;65.700196;0.4109;0.010523;0.019476;1;4;1;0;0;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;1847.186;1863.726;1836.532;1858.743;1;11.557;27.194;4.983;10.654;1844.680;1855.472;1816.935;1847.233;1;2.553;38.537;8.239;27.745;1855.038;1855.537;1841.553;1844.710;0;10.328;13.984;0.499;3.157;1916.499;1916.605;1828.156;1849.370;0;67.129;88.449;0.106;21.214;1923.943;1927.597;1906.796;1916.548;0;7.395;20.801;3.654;9.752;1950.279;1959.290;1900.692;1923.991;0;26.288;58.598;9.011;23.299;0;1;19.375;38.377;-3;0.504871;1;1;2.27;Win
2021.01.15;XAUUSDm;SELL;1829.551;1830.127;1830.446;1829.578;28.93943;0.01581282;-0.00094997;38.43;-0.007906;0.943281;0.070577;0.007207;0.00;0.01;0.02;false;1.721003;1.581282;63.239915;0.3843;0.011023;0.018971;1;5;1;0;0;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;1847.186;1863.726;1836.532;1858.743;1;11.557;27.194;4.983;10.654;1844.680;1855.472;1816.935;1847.233;1;2.553;38.537;8.239;27.745;1855.038;1855.537;1841.553;1844.710;0;10.328;13.984;0.499;3.157;1916.499;1916.605;1828.156;1849.370;0;67.129;88.449;0.106;21.214;1923.943;1927.597;1906.796;1916.548;0;7.395;20.801;3.654;9.752;0;2;15.831;33.906;-3;0.466923;1;1;2.30;Win
2021.01.18;XAUUSDm;BUY;1829.866;1829.239;1828.924;1829.848;30.81736;0.01684709;-0.00368789;40.76;-0.015873;0.869445;0.071096;0.014651;0.00;0.01;0.02;false;1.933333;1.684709;59.357426;0.4076;0.010222;0.019762;1;1;1;1;0;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;1846.783;1856.935;1823.284;1826.975;0;19.808;33.651;10.152;3.691;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;1847.186;1863.726;1836.532;1858.743;1;11.557;27.194;4.983;10.654;1844.680;1855.472;1816.935;1847.233;1;2.553;38.537;8.239;27.745;1855.038;1855.537;1841.553;1844.710;0;10.328;13.984;0.499;3.157;0;4;10.501;26.933;-3;0.389871;1;1;2.50;Win
2021.01.19;XAUUSDm;BUY;1841.329;1840.702;1840.382;1841.327;31.51050;0.01711874;-0.00392681;44.08;-0.004121;0.960569;0.064425;0.020788;0.00;0.01;0.02;false;1.953125;1.711874;58.415512;0.4408;0.010155;0.019835;1;2;1;1;0;1810.604;1840.697;1810.429;1837.213;1;26.609;30.268;3.484;0.175;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;1846.783;1856.935;1823.284;1826.975;0;19.808;33.651;10.152;3.691;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;1847.186;1863.726;1836.532;1858.743;1;11.557;27.194;4.983;10.654;1844.680;1855.472;1816.935;1847.233;1;2.553;38.537;8.239;27.745;1;0;12.826;29.260;-1;0.438365;1;1;2.50;Win
2021.01.20;XAUUSDm;SELL;1832.393;1832.998;1833.297;1832.401;29.85379;0.01628688;-0.00455566;42.29;-0.007494;0.416296;0.068900;0.016671;0.00;0.01;0.02;false;1.996656;1.628688;61.399181;0.4229;0.010015;0.019997;1;3;1;0;0;1837.216;1845.426;1832.998;1840.911;1;3.695;12.428;4.515;4.218;1810.604;1840.697;1810.429;1837.213;1;26.609;30.268;3.484;0.175;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;1846.783;1856.935;1823.284;1826.975;0;19.808;33.651;10.152;3.691;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;1847.186;1863.726;1836.532;1858.743;1;11.557;27.194;4.983;10.654;2;0;12.990;25.530;-1;0.508799;1;1;2.41;Win
2021.01.21;XAUUSDm;BUY;1872.940;1872.314;1871.999;1872.940;31.36407;0.01675150;-0.00294635;52.47;0.024816;1.274420;0.046454;0.037321;0.00;0.01;0.02;false;1.987302;1.675150;59.696140;0.5247;0.010043;0.019959;1;4;1;1;0;1840.913;1872.313;1832.342;1869.862;1;28.949;39.971;2.451;8.571;1837.216;1845.426;1832.998;1840.911;1;3.695;12.428;4.515;4.218;1810.604;1840.697;1810.429;1837.213;1;26.609;30.268;3.484;0.175;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;1846.783;1856.935;1823.284;1826.975;0;19.808;33.651;10.152;3.691;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;1858.696;1862.935;1841.859;1848.318;0;10.378;21.076;4.239;6.459;3;0;15.474;27.355;-1;0.565676;1;1;2.50;Win
2021.01.22;XAUUSDm;SELL;1857.703;1858.277;1858.563;1857.712;28.37100;0.01526739;-0.00299542;48.74;0.026362;0.589228;0.054360;0.030048;0.00;0.01;0.02;false;1.975524;1.526739;65.499172;0.4874;0.010081;0.019915;1;5;1;0;0;1869.910;1874.996;1858.279;1869.551;0;0.359;16.717;5.086;11.272;1840.913;1872.313;1832.342;1869.862;1;28.949;39.971;2.451;8.571;1837.216;1845.426;1832.998;1840.911;1;3.695;12.428;4.515;4.218;1810.604;1840.697;1810.429;1837.213;1;26.609;30.268;3.484;0.175;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;1846.783;1856.935;1823.284;1826.975;0;19.808;33.651;10.152;3.691;1848.315;1857.455;1830.157;1846.836;0;1.479;27.298;9.140;16.679;0;1;14.043;26.732;-1;0.525312;1;1;2.29;Win
2021.01.25;XAUUSDm;BUY;1859.881;1859.414;1859.173;1859.868;23.15450;0.01245258;-0.00296817;49.20;0.010051;0.122395;0.053714;0.030642;0.00;0.01;0.02;false;1.883817;1.245258;80.304649;0.4920;0.010408;0.019607;1;1;1;1;0;1858.206;1859.405;1856.571;1856.851;0;1.355;2.834;1.199;0.280;1869.577;1869.850;1837.298;1855.732;0;13.845;32.552;0.273;18.434;1869.910;1874.996;1858.279;1869.551;0;0.359;16.717;5.086;11.272;1840.913;1872.313;1832.342;1869.862;1;28.949;39.971;2.451;8.571;1837.216;1845.426;1832.998;1840.911;1;3.695;12.428;4.515;4.218;1810.604;1840.697;1810.429;1837.213;1;26.609;30.268;3.484;0.175;1827.947;1829.232;1802.438;1810.546;0;17.401;26.794;1.285;8.108;0;3;13.173;23.081;-1;0.570752;1;1;1.86;Win
