Action,Hour_of_Day,Minutes_of_Hour_of_Day,Win,Profit,Profit_Pct,Outcome
BUY,15,21,0,-0.21,-0.0138,Loss
BUY,3,41,1,0.26,0.0170,Win
SELL,3,45,0,-0.22,-0.0141,Loss
BUY,1,5,1,0.40,0.0254,Win
SELL,8,29,1,0.64,0.0412,Win
BUY,23,34,0,-0.29,-0.0186,Loss
SELL,1,48,0,-0.04,-0.0026,Loss
BUY,1,31,0,-0.23,-0.0149,Loss
BUY,2,8,0,-0.20,-0.0128,Loss
BUY,14,16,1,0.67,0.0430,Win
BUY,7,43,1,0.73,0.0468,Win
BUY,3,17,1,0.74,0.0474,Win
BUY,1,16,1,0.77,0.0494,Win
SELL,14,14,1,0.54,0.0343,Win
SELL,3,17,1,0.54,0.0345,Win
BUY,2,23,0,-0.21,-0.0133,Loss
SELL,3,3,1,0.52,0.0331,Win
BUY,1,9,1,0.50,0.0314,Win
SELL,10,27,1,0.56,0.0357,Win
SELL,11,50,0,-0.26,-0.0168,Loss
BUY,11,24,0,-0.18,-0.0115,Loss
BUY,2,44,0,-0.19,-0.0121,Loss
BUY,1,32,0,-0.01,-0.0006,Loss
SELL,4,22,0,-0.17,-0.0108,Loss
BUY,1,54,0,-0.17,-0.0108,Loss
BUY,15,37,0,-0.17,-0.0108,Loss
BUY,1,5,0,-0.22,-0.0139,Loss
BUY,8,24,0,-0.02,-0.0012,Loss
BUY,1,18,0,-0.20,-0.0124,Loss
SELL,2,8,1,0.65,0.0394,Win
SELL,16,41,0,-0.20,-0.0123,Loss
BUY,16,31,0,-0.22,-0.0133,Loss
SELL,6,10,0,-0.01,-0.0006,Loss
BUY,17,0,1,1.00,0.0621,Win
BUY,1,17,1,1.27,0.0770,Win
BUY,14,23,1,1.20,0.0726,Win
BUY,1,46,0,-0.37,-0.0221,Loss
SELL,7,8,1,1.43,0.0863,Win
SELL,19,32,0,-0.02,-0.0012,Loss
SELL,4,0,1,1.58,0.0968,Win
SELL,3,26,0,-0.05,-0.0032,Loss
SELL,12,29,0,-0.04,-0.0027,Loss
SELL,4,58,0,-0.03,-0.0020,Loss
BUY,8,41,0,-0.77,-0.0513,Loss
BUY,14,10,1,2.20,0.1451,Win
BUY,1,12,1,0.54,0.0331,Win
BUY,16,7,0,-0.67,-0.0409,Loss
BUY,1,29,0,-0.71,-0.0435,Loss
SELL,11,44,1,2.32,0.1441,Win
BUY,15,11,0,-0.56,-0.0350,Loss
BUY,14,53,0,-0.52,-0.0321,Loss
BUY,9,16,0,-0.48,-0.0295,Loss
BUY,2,15,1,1.59,0.0952,Win
SELL,3,34,0,-0.73,-0.0445,Loss
BUY,10,3,0,-0.39,-0.0235,Loss
BUY,1,11,0,-2.03,-0.1201,Loss
BUY,3,13,0,-0.08,-0.0046,Loss
SELL,10,31,0,-0.36,-0.0211,Loss
BUY,13,53,0,-0.02,-0.0012,Loss
SELL,1,14,1,1.00,0.0585,Win
SELL,1,18,0,-0.77,-0.0458,Loss
SELL,12,21,0,-0.02,-0.0012,Loss
BUY,10,49,1,1.26,0.0742,Win
BUY,4,25,0,-0.39,-0.0227,Loss
SELL,17,5,0,-0.04,-0.0023,Loss
SELL,3,21,1,1.26,0.0739,Win
BUY,22,40,1,1.18,0.0688,Win
BUY,9,10,0,-0.31,-0.0180,Loss
SELL,8,39,1,1.09,0.0648,Win
BUY,9,39,0,-0.01,-0.0006,Loss
SELL,10,7,1,0.97,0.0573,Win
SELL,16,2,0,-0.01,-0.0006,Loss
BUY,18,45,0,-0.36,-0.0211,Loss
BUY,12,14,0,-0.47,-0.0273,Loss
SELL,12,32,0,-0.27,-0.0159,Loss
BUY,15,21,0,-0.26,-0.0152,Loss
BUY,2,37,0,-0.54,-0.0314,Loss
BUY,1,7,0,-0.03,-0.0017,Loss
SELL,9,40,1,0.96,0.0556,Win
BUY,4,2,0,-0.31,-0.0177,Loss
SELL,5,46,1,0.88,0.0505,Win
SELL,8,49,0,-0.01,-0.0006,Loss
BUY,4,17,0,-0.23,-0.0133,Loss
SELL,6,47,1,0.81,0.0474,Win
BUY,13,29,0,-0.32,-0.0185,Loss
BUY,1,11,0,-0.32,-0.0184,Loss
BUY,16,20,0,-0.30,-0.0172,Loss
SELL,3,1,0,-0.03,-0.0017,Loss
SELL,15,30,1,0.85,0.0501,Win
BUY,3,56,0,-0.26,-0.0153,Loss
BUY,11,48,0,-0.27,-0.0157,Loss
BUY,17,1,0,-0.01,-0.0006,Loss
SELL,8,57,0,-0.01,-0.0006,Loss
SELL,12,32,1,1.01,0.0588,Win
BUY,3,7,0,-0.28,-0.0162,Loss
BUY,16,15,0,-0.38,-0.0219,Loss
BUY,16,19,1,0.96,0.0544,Win
BUY,3,7,0,-0.29,-0.0164,Loss
SELL,16,26,1,0.82,0.0467,Win
